,osm_id,type,oneway,bridge,geometry
106,21654620,secondary,1,0,"LINESTRING (116.3115702 39.9746749, 116.3117415 39.9746731)"
467,25446414,secondary,1,0,"LINESTRING (116.3113773 39.9746788, 116.3115702 39.9746749)"
3392,42367940,footway,0,1,"LINESTRING (116.3112189 39.9769318, 116.3105521 39.9768142)"
3395,42367963,footway,0,1,"LINESTRING (116.3128514 39.9720423, 116.3123466 39.9719063)"
3492,42411339,tertiary_link,0,0,"LINESTRING (116.3127279 39.9711804, 116.3128491 39.9712105, 116.3130008 39.971244)"
11590,120413630,footway,0,1,"LINESTRING (116.3137681 39.9749504, 116.3137856 39.9745721)"
11591,120413631,footway,0,1,"LINESTRING (116.3136456 39.9745683, 116.3137856 39.9745721, 116.3141572 39.9745822)"
11592,120413632,footway,0,1,"LINESTRING (116.3136393 39.9749469, 116.3137681 39.9749504, 116.3139346 39.974955)"
12427,121778742,primary,1,0,"LINESTRING (116.3101934 39.9839321, 116.3103266 39.9829572, 116.3103938 39.9821355, 116.3104511 39.9814804, 116.310461 39.9813078, 116.3104671 39.9812305, 116.3105208 39.9804728, 116.3105965 39.9795423, 116.3106014 39.9794722, 116.310677 39.9786721, 116.3106662 39.9784719, 116.3106226 39.9777533, 116.3105853 39.9775324)"
12439,121778770,footway,0,1,"LINESTRING (116.3112152 39.9770554, 116.3112189 39.9769318, 116.3113242 39.976663)"
12441,121778772,footway,0,1,"LINESTRING (116.3105133 39.9769555, 116.3105521 39.9768142, 116.3106208 39.9765652)"
12443,121778774,primary_link,1,0,"LINESTRING (116.3106226 39.9777533, 116.3106937 39.9776938, 116.3107791 39.9776821, 116.3108936 39.9777013, 116.31095 39.977771)"
12444,121778775,primary_link,1,0,"LINESTRING (116.3110251 39.9771672, 116.3109388 39.977204, 116.3108344 39.9772106, 116.3107213 39.9771811, 116.3106554 39.9771357)"
12631,121991961,tertiary,1,0,"LINESTRING (116.3113997 39.9746083, 116.3116 39.9745967)"
13864,128624213,platform,0,0,"LINESTRING (116.3123925 39.9720735, 116.3123067 39.9722712)"
13873,128624224,footway,0,0,"LINESTRING (116.3123925 39.9720735, 116.3123373 39.9720586, 116.3122857 39.9720446)"
13874,128624225,steps,0,1,"LINESTRING (116.3127769 39.9721965, 116.3128514 39.9720423, 116.3129629 39.9718116)"
13876,128624227,platform,0,0,"LINESTRING (116.3125659 39.9724118, 116.3126161 39.9722892)"
13877,128624228,steps,0,1,"LINESTRING (116.3122857 39.9720446, 116.3123466 39.9719063, 116.3124427 39.9716883)"
13878,128624229,footway,0,0,"LINESTRING (116.3126161 39.9722892, 116.3126617 39.9723011, 116.3127207 39.9723165, 116.3127769 39.9721965)"
14232,136511986,tertiary,1,0,"LINESTRING (116.2999372 39.9777081, 116.3000288 39.9777108, 116.3022519 39.9777743, 116.3023572 39.9777391, 116.3035674 39.9776364, 116.3049622 39.9775145, 116.3050432 39.9775069, 116.3056442 39.9774564, 116.3067659 39.977359, 116.310465 39.9774036, 116.3105058 39.9774041, 116.3105926 39.9774053)"
14233,136511990,tertiary,1,0,"LINESTRING (116.3105853 39.9775324, 116.3105011 39.9775309, 116.3104616 39.9775303, 116.3095624 39.9775148, 116.3076468 39.9774775, 116.3067288 39.9774596, 116.3056415 39.977538, 116.3050413 39.9775969, 116.304954 39.9775956)"
